slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
san_giovanni_battista_bonifacio,San Giovanni Battista (Bonifacio),Bonifacio,41.393,9.146,42.97613,9.38066,177094.7,FAIBLE,1,osm,0.0,"42.97613,9.38066",,,,pieve_bonifacio,pieve_rogliano,False,doyenne_extreme_sud,doyenne_du_cap,False,DIST_OVER_5000m
san_giovanni_battista_carbini,San Giovanni Battista Carbini,Carbini,41.6419,9.2406,41.72153,9.14761,11748.9,FAIBLE,1,ign,0.0,,,"41.72153,9.14761",,pieve_carbini,pieve_carbini,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
san_giovanni_battista_vieille_ville_sartene,San Giovanni Battista (vieille ville) (Sartène),Sartène,41.619,8.976,41.66143,9.01424,5688.7,FAIBLE,2,osm+ign,11593.7,"41.70470,9.05317",,"41.61817,8.97531",,pieve_sartene,pieve_tallano,False,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m | RETRY_VARIANT:San Giovanni Battista
san_giovanni_de_bonifacio,San Giovanni de Bonifacio,Bonifacio,41.3892,9.1611,42.67488,9.42628,144628.9,FAIBLE,2,osm+ign,67409.3,"42.97613,9.38066",,"42.37363,9.47189",,pieve_bonifacio,pieve_bastia,False,doyenne_extreme_sud,doyenne_du_cap,False,DIST_OVER_5000m
san_giovanni_de_coggia,San Giovanni de Coggia,Coggia,42.1764,8.7339,41.68457,8.94150,57321.5,FAIBLE,1,ign,0.0,,,"41.68457,8.94150",,pieve_cinarca,pieve_sartene,False,doyenne_piana_vico_sari,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
san_giovanni_de_pianottoli_caldarello,San Giovanni de Pianottoli-Caldarello,Pianottoli-Caldarello,41.4839,9.0628,41.46361,9.05179,2435.8,FAIBLE,2,osm+ign,756.3,"41.46035,9.05049",,"41.46687,9.05309",,pieve_freto,pieve_freto,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
san_giovanni_figari_nord,San Giovanni (Figari nord),Figari,41.525,9.152,42.37390,9.47209,98034.4,FAIBLE,1,ign,0.0,,,"42.37390,9.47209",,pieve_freto,pieve_moriani,False,doyenne_extreme_sud,doyenne_plaine_orientale,False,DIST_OVER_5000m
san_giovanni_partinello,San Giovanni (Partinello),Partinello,42.2,8.665,41.68457,8.94150,61706.7,FAIBLE,1,ign,0.0,,,"41.68457,8.94150",,pieve_vico,pieve_sartene,False,doyenne_piana_vico_sari,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
san_giovanni_porto_vecchio_haute_ville,San Giovanni (Porto-Vecchio (haute ville)),Porto-Vecchio,41.592,9.28,41.59796,9.27162,961.6,FAIBLE,1,ign,0.0,,,"41.59796,9.27162",True,pieve_carbini,pieve_carbini,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
san_giovanni_serra_di_scopamene_haute,San Giovanni (Serra-di-Scopamène haute),Serra-di-Scopamène,41.728,9.19,41.75706,9.10262,7937.3,FAIBLE,1,ign,0.0,,,"41.75706,9.10262",,pieve_verde,pieve_verde,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
