Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;BODUTL41LONGC;LIAISON 90kV N0 1 BODUT-LONGCHAMP (RUFFEC);EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;B.MONL61BXCHA;LIAISON 225kV N0 1 BEAUCHASTEL - BEAUMONT-MONTEUX;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;MOULAL31V.MO5;LIAISON 63kV N0 1 MOULAINE-VILLERS-LA-MONTAGNE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;TRIT5L61ZTRIT;LIAISON 225kV N0 1 GROS-CAILLOU - TRITH-ST-LEGER(PORT-ARTHUR LME) - TRITH-ST-LEGER(L.M.E.);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AVELIL71WEPPE;LIAISON 400kV N0 1 AVELIN - WEPPES;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CONCAL31ZKERS;LIAISON 63kV N0 1 CASCADEC-CONCARNEAU-LANGONNET;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;CXVIGL41ZFORG;LIAISON 90kV N0 1 CHAUVIGNY-FERRANDE (LA)-JAUMES(LES)-MONTMORILLON;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;LANDRL31TUCQU;LIAISON 63kV N0 1 LANDRES-TUCQUEGNIEUX;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;BOLL5L61TRI.P;LIAISON 225kV N0 1 BOLLENE-TRICASTIN-POSTE (LE);EN EXPLOITATION;225kV;RTE;2;BOLL5L32TRICA;LIAISON 63kV N0 2 BOLLENE-TRICASTIN (LE);;;;;;
AERIEN;ALLOUL41MARMA;LIAISON 90kV N0 1 ALLOUIS-MARMAGNE;EN EXPLOITATION;90kV;RTE;2;MARMAL41MEHUN;LIAISON 90kV N0 1 MARMAGNE-MEHUN (-SUR-YEVRE);;;;;;
AERIEN;SAUCAL31ZCER6;LIAISON 63kV N0 1 PODENSAC-SAUCATS-CERONS;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;M.SEIL41ROMIL;LIAISON 90kV N0 1 MERY-SUR-SEINE-ROMILLY;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;CRIQUL41P.JER;LIAISON 90kV N0 1 CRIQUET-PORT-JEROME;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;SSDIDL31ZSSDI;LIAISON 63kV N0 1 CHAMPAGNIER-HERBETTE (L)-PEAGE-DE-VIZILLE-ST-DIDIER;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;R.YONL41ZTHIB;LIAISON 90kV N0 1 ROCHE-SUR-YON (LA) - SIRMIERE - THIBAUDIERE (LA);EN EXPLOITATION;90kV;RTE;1;;;;;;;;
