statut;geo_point_2d;geo_shape
En exploitation;41.90991387466722, 8.654665505148134;"{""coordinates"": [[8.6545471, 41.9099385], [8.6547438, 41.9098976], [8.6547839, 41.9098892]], ""type"": ""LineString""}"
En exploitation;41.944945915267596, 8.615102072901264;"{""coordinates"": [[8.6158582, 41.9447545], [8.6156075, 41.9447536], [8.6143642, 41.9452086], [8.6143588, 41.9452106]], ""type"": ""LineString""}"
En exploitation;41.908280272809954, 8.66096777997378;"{""coordinates"": [[8.6610357, 41.9079903], [8.6609502, 41.9081865], [8.6609471, 41.9081938], [8.6609615, 41.9085819]], ""type"": ""LineString""}"
En exploitation;41.908621956878775, 8.659657996545354;"{""coordinates"": [[8.6609615, 41.9085819], [8.6584399, 41.9086565], [8.6584599, 41.9087434]], ""type"": ""LineString""}"
En exploitation;41.90813227936765, 8.683683652087089;"{""coordinates"": [[8.6833638, 41.9081008], [8.6839958, 41.908163], [8.6840035, 41.9081638]], ""type"": ""LineString""}"
En exploitation;41.90719846894334, 8.677696051247304;"{""coordinates"": [[8.6781364, 41.9074799], [8.678122, 41.9074386], [8.677233, 41.906936]], ""type"": ""LineString""}"
En exploitation;41.90676497113889, 8.676980285599528;"{""coordinates"": [[8.677233, 41.906936], [8.6767346, 41.9065987], [8.6767276, 41.9065939]], ""type"": ""LineString""}"
En exploitation;41.90989603601982, 8.685883406375542;"{""coordinates"": [[8.6862254, 41.9100531], [8.6855467, 41.9097414], [8.6855414, 41.909739]], ""type"": ""LineString""}"
En exploitation;41.908769978733154, 8.709460917506581;"{""coordinates"": [[8.7106959, 41.9088145], [8.7094841, 41.908783], [8.7093144, 41.9087768], [8.7089436, 41.9087635], [8.7086077, 41.9087515], [8.7085985, 41.9087512], [8.7082767, 41.9086287], [8.7082468, 41.9086173]], ""type"": ""LineString""}"
En exploitation;41.90950549438378, 8.719397355136467;"{""coordinates"": [[8.7196082, 41.9096965], [8.7196045, 41.909693], [8.7194626, 41.9095692], [8.7194729, 41.9095506], [8.7194635, 41.9095435], [8.7191762, 41.9093267], [8.7191721, 41.9093236]], ""type"": ""LineString""}"
En exploitation;41.91050871630217, 8.720666648285492;"{""coordinates"": [[8.7211921, 41.910565], [8.7208949, 41.9105332], [8.7208938, 41.9105331], [8.7205975, 41.9105013], [8.7201814, 41.9104567], [8.7201412, 41.9104524]], ""type"": ""LineString""}"
En exploitation;41.91129540101639, 8.721333934540187;"{""coordinates"": [[8.7212113, 41.9113988], [8.7211854, 41.9113822], [8.7212623, 41.9113367], [8.7214504, 41.9112251], [8.7215049, 41.9111928]], ""type"": ""LineString""}"
En exploitation;41.911321160572726, 8.720090033679341;"{""coordinates"": [[8.720503, 41.9110863], [8.7202136, 41.9110935], [8.72003, 41.9113344], [8.7198815, 41.9115293], [8.7198397, 41.9115839], [8.7198673, 41.9117404], [8.7198678, 41.911744], [8.719868, 41.9117449]], ""type"": ""LineString""}"
En exploitation;41.9143221, 8.724244500000001;"{""coordinates"": [[8.7244182, 41.9143731], [8.7240708, 41.9142711]], ""type"": ""LineString""}"
En exploitation;41.914294545360995, 8.724440170734331;"{""coordinates"": [[8.7244583, 41.9142151], [8.7244495, 41.9142658], [8.7244182, 41.9143731]], ""type"": ""LineString""}"
En exploitation;41.914097017507366, 8.725190878115297;"{""coordinates"": [[8.7253004, 41.9139238], [8.7252979, 41.9139279], [8.7251875, 41.9141023], [8.7250849, 41.9142646], [8.7250813, 41.9142702]], ""type"": ""LineString""}"
En exploitation;41.91525535563464, 8.72521489867761;"{""coordinates"": [[8.7249971, 41.9152041], [8.7254233, 41.9153044], [8.7254327, 41.9153066]], ""type"": ""LineString""}"
En exploitation;41.91341049759093, 8.725794316119556;"{""coordinates"": [[8.7257183, 41.9135122], [8.7257209, 41.9135081], [8.7258112, 41.9133535], [8.7258191, 41.9133555], [8.7258982, 41.9133758]], ""type"": ""LineString""}"
En exploitation;41.91319489295903, 8.727879678607557;"{""coordinates"": [[8.7278476, 41.9132922], [8.727849, 41.9132879], [8.7278791, 41.9131966], [8.7279118, 41.9130976]], ""type"": ""LineString""}"
En exploitation;41.91269728123671, 8.728090962611239;"{""coordinates"": [[8.7280119, 41.9127923], [8.7280501, 41.9126908], [8.728148, 41.9127034], [8.7281685, 41.9126661], [8.7280821, 41.9126473], [8.7280695, 41.9126446]], ""type"": ""LineString""}"
En exploitation;41.91311294877504, 8.727763916084399;"{""coordinates"": [[8.7279118, 41.9130976], [8.7277486, 41.9131253], [8.7277169, 41.9131207], [8.7276409, 41.9131132], [8.727638, 41.91309], [8.7276375, 41.9130855]], ""type"": ""LineString""}"
En exploitation;41.9154738480858, 8.726167883718054;"{""coordinates"": [[8.7261712, 41.9154466], [8.7261651, 41.9154967], [8.7261647, 41.9155002], [8.7261646, 41.9155011]], ""type"": ""LineString""}"
En exploitation;41.91534837687774, 8.72566003355974;"{""coordinates"": [[8.7258638, 41.9153911], [8.7258578, 41.9153899], [8.725462, 41.9153068], [8.7254563, 41.9153055]], ""type"": ""LineString""}"
En exploitation;41.91591054029414, 8.730073143259071;"{""coordinates"": [[8.7297919, 41.9159498], [8.729912, 41.9159506], [8.729924, 41.9159507], [8.729937, 41.9159507], [8.7301537, 41.9158212], [8.7302599, 41.9159146], [8.7301393, 41.915991], [8.7301348, 41.9159939]], ""type"": ""LineString""}"
